,learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,horizontal_flip,epochs
0,0.0025,0.11818181818181817,0.41363636363636364,0.4636363636363636,0.4090909090909091,0.6045454545454545,0.0,3.0,2.0,1.0,5.0,6.0,9.0,333.0,1.0,957.0
0,0.08650000000000001,0.44545454545454544,0.20151515151515148,0.5545454545454546,0.5727272727272728,0.6257575757575757,0.0,4.0,2.0,0.0,6.0,6.0,7.0,344.0,1.0,295.0
0,0.0415,0.26363636363636367,0.1590909090909091,0.11818181818181817,0.5181818181818182,0.39242424242424234,0.0,3.0,3.0,1.0,4.0,7.0,8.0,49.0,1.0,727.0
0,0.07450000000000001,0.3,0.35,0.37272727272727274,0.1727272727272727,0.1590909090909091,0.0,4.0,2.0,0.0,4.0,7.0,6.0,82.0,1.0,266.0
0,0.0115,0.02727272727272727,0.6257575757575757,0.44545454545454544,0.26363636363636367,0.11666666666666667,0.0,3.0,2.0,1.0,3.0,5.0,8.0,180.0,0.0,899.0
0,0.0835,0.35454545454545455,0.6681818181818182,0.5181818181818182,0.06363636363636363,0.13787878787878785,0.0,4.0,3.0,2.0,5.0,7.0,5.0,191.0,0.0,93.0
0,0.0985,0.4636363636363636,0.3287878787878788,0.5727272727272728,0.3,0.22272727272727275,0.0,4.0,2.0,1.0,5.0,6.0,8.0,136.0,0.0,237.0
0,0.044500000000000005,0.1727272727272727,0.11666666666666667,0.1727272727272727,0.19090909090909094,0.5833333333333334,0.0,4.0,1.0,1.0,3.0,4.0,9.0,245.0,0.0,352.0
0,0.0775,0.5181818181818182,0.4348484848484848,0.5,0.1,0.4560606060606061,0.0,3.0,3.0,1.0,5.0,4.0,5.0,147.0,0.0,439.0
0,0.0535,0.5545454545454546,0.39242424242424234,0.0818181818181818,0.11818181818181817,0.562121212121212,0.0,4.0,1.0,2.0,4.0,4.0,6.0,27.0,0.0,611.0
